name,wdid,position
Najla Bouden,Q108741355,Head of Government
Taoufik Charfeddine,Q98828355,Minister of Interior
Imed Memmich,Q108883556,Minister of Defence
Othman Jerandi,Q12270270,"Minister of Foreign Affairs, Migration and Tunisians Abroad"
Leïla Jaffel,Q98828570,Minister of Justice
Sihem Boughdiri,Q108159069,Minister of Finance
Samir Saïed,Q108865358,Minister of Economy and Planning
Neila Gonji,Q108892363,"Minister of Industry, Energy and Mines"
Fadhila Rebhi,Q108892359,Minister of Commerce and Export Development
Mahmoud Elyes Hamza,Q108892344,"Minister of Agriculture, Water Resources and Fisheries"
Malek Zahi,Q108892347,Minister of Social Affairs
Ali Mrabet,Q86329266,Minister of Health
Fethi Sellaouti,Q98828599,Minister of Education
Kamel Deguiche,Q98828560,Minister of Youth and Sports
Nasreddine Nsibi,Q108892375,"Minister of Employment and Vocational Training, Government spokesperson"
Moncef Boukthir,Q108892377,"Minister of Higher Education, Scientific Research"
Rabie Majidi,Q108892351,Minister of Transport
Nizar Ben Néji,Q108163613,Minister of Communication Technologies
Sarra Zaâfrani,Q108892374,Minister of Equipment and Housing
Mohamed Rekik,Q109544397,Minister of State Domains and Land Affairs
Leila Chikhaoui,Q108892383,Minister of Environment
Mohamed Moez Belhassine,Q108892366,Minister of Tourism
Brahim Chaibi,Q108892355,Minister of Religious Affairs
Amel Moussa,Q52450891,"Minister of Women, Family, Children and Elderly"
Hayet Guettat,Q108892387,Minister of Culture
Aïda Hamdi,Q109544937,Secretary of State for International Cooperation
