wdid,name,wdLabel,source,sourceDate,pid,position,startDate,endDate,psid
Q108159069,Sihem Boughdiri,Sihem Boughdiri,,,Q20716218,Minister of Finance,2021-08-02,,Q108159069-66916665-99B2-4C25-8CC1-426EB1D2665A
Q108163613,Nizar Ben Neji,Nizar Ben Neji,,,Q110475754,Minister of Information and Communication Technologies,2021-08-02,,Q108163613-E2C1C66B-158C-401C-B97D-4A859160555D
Q108741355,Najla Bouden,Najla Bouden,,,Q1064106,Prime Minister of Tunisia,2021-10-11,,Q108741355-552FC709-74DB-4EE4-9CD5-4420AFB9C5CD
Q108865358,Samir Saïed,Samir Saïed,,,Q110471462,Minister of Economy and Planning (Tunisia),2021-10-11,,Q108865358-B476C004-0415-4F7D-8276-684B6F8426F1
Q108883556,Imed Memmich,Imed Memmich,,,Q110463674,Minister of Defence,2021-10-11,,Q108883556-A0BC7E83-02E0-40F6-931B-B436368357FD
Q108892344,Mahmoud Elyes Hamza,Mahmoud Elyes Hamza,,,Q109268931,Minister of Agriculture,2021-10-11,,Q108892344-6D567D8D-390A-4B11-86A8-8264C2F94BDF
Q108892347,Malek Zahi,Malek Zahi,,,Q110475404,Minister of Social Affairs,2021-10-11,,Q108892347-9831F2DE-819F-428E-815C-56F0E5F9F1F3
Q108892351,Rabie Majidi,Rabie Majidi,,,Q110471598,Minister of Transport,2021-10-11,,Q108892351-8816A513-4870-43F0-A906-9C0268F30112
Q108892355,Brahim Chaibi,Brahim Chaibi,,,Q53544902,Minister of Religious Affairs,2021-10-11,,Q108892355-4D631BBA-2F40-4A39-A36E-99AE19F7F484
Q108892359,Fadhila Rebhi,Fadhila Rebhi,,,Q110471534,Minister of Commerce,2021-10-11,,Q108892359-3BBB93A8-3150-487D-95C2-EA5F21D10899
Q108892363,Neila Gonji,Neila Gonji,,,Q55110158,Minister of Energy and Mines,2021-10-11,,Q108892363-BDEE890F-D6E1-41A8-92B4-BB8DB8B3567E
Q108892363,Neila Gonji,Neila Gonji,,,Q81744907,Industry Minister of Tunisia,2021-10-11,,Q108892363-EB06ECB6-9A25-4B2E-9C1E-FA93352002A5
Q108892366,Mohamed Moez Belhassine,Mohamed Moez Belhassine,,,Q108730486,Minister of Tourism of Tunisia,2021-10-11,,Q108892366-8223DCD0-A1EC-43AF-8BDE-D200CB66702B
Q108892374,Sarra Zaâfrani,Sarra Zaâfrani,,,Q110475741,Minister of Equipment,2021-10-11,,Q108892374-7640E95C-E356-4A88-B4E5-F1BB83B16F07
Q108892375,Nasreddine Nsibi,Nasreddine Nsibi,,,Q110475560,Minister of Employment,2021-10-11,,Q108892375-2FFE70A1-F78A-43DE-87E4-C850B3B11D9C
Q108892377,Moncef Boukthir,Moncef Boukthir,,,Q23817727,Minister of Higher Education,2021-10-11,,Q108892377-04D26ED2-5E16-4EEA-AD26-712296B953CB
Q108892383,Leila Chikhaoui,Leila Chikhaoui,,,Q110475594,Minister of the Environment,2021-10-11,,Q108892383-1E88C218-F09A-45A9-B9F5-19601029A679
Q108892387,Hayet Guettat,Hayet Guettat,,,Q50809449,Minister of Culture,2021-10-11,,Q108892387-295B2AC5-6317-4D83-B4AA-9CD022FA21FA
Q109544397,Mohamed Rekik,Mohamed Rekik,,,Q110475732,Minister of State Domains,2021-10-11,,Q109544397-17592D4C-15E7-42BF-8054-8659AFC78F02
Q12270270,Othman Jerandi,Othman Jerandi,https://en.wikipedia.org/wiki/Othman_Jerandi,2022-01-07,Q27235647,Minister of Foreign Affairs,2020-09-02,,Q12270270-E76860FF-8B54-4B92-AB02-5A61A90275EC
Q52450891,Amel Moussa,Amel Moussa,,,Q48598683,Minister of Women affairs,2021-10-11,,Q52450891-A2311312-3516-4FE9-B941-A0EA2DE54151
Q86329266,Ali Mrabet,Ali Mrabet,,,Q62021715,Minister of Heath,2021-08-06,,Q86329266-3852ED94-2067-4773-90EE-2E359D08FDB9
Q98828355,Taoufik Charfeddine,Taoufik Charfeddine,,,Q41791952,Minister of Interior,2021-10-11,,Q98828355-90A9A3F8-45FE-41B1-9969-8D270F537DB5
Q98828560,Kamel Deguiche,Kamel Deguiche,,,Q110475510,Minister of Youth and Sports,2021-10-11,,Q98828560-3D204A7D-C345-45F8-9708-DCFB78B59F89
Q98828570,Leila Jaffel,Leila Jaffel,,,Q20716252,Minister of Justice,2021-10-11,,Q98828570-E5333812-D47D-43D9-8EA3-E7FCEAAB75EC
Q98828599,Fethi Sellaouti,Fethi Sellaouti,,,Q110463824,Minister of Education,2020-09-02,,Q98828599-F7D117C2-8C88-4A4B-A84E-903B368DE755
